STUDY,COUNTRY,AREA,REGION,BOTH,MONTH_START,YEAR_START,MONTH_END,YEAR_END,AGES,LOW_AGE,UPP_AGE,N_AGE_2,RNA_POS,RNA_N,SERO_POS,SERO_N,M_ZERO,TEST_TYPE,SAMPLE,SAMPLE_SITE,stratified by sample site (market/farm etc),stratified by import/local ,NEW,details,other,URL
islam,Bangladesh,Dhaka,south_asia,N,9,2015,10,2015,<2yrs,0,1.99,Y,NA,NA,1,11,36.36363636,ppNT,PREDICT survey,farm/market,Y,Y,N,"In Bangladesh, Islam et al used ELISA as screening (cited Muller who cited Corman and memish) and ppNT (cut off 1:20) to determine seropositivity for each sample. They measured both the specificity and sensitivity of the ELISA to be 98.2% (they report 98.6% in the text but I calculated it from their results table as 98.2% - out of 55 animals, one animal was found to be positive by ELISA when ppNT determined it to be negative, and another animal was found to be negative by ELISA when ppNT determined it to be positive. Muller measured the ELISA to be 99.0% specific when correlated with the MN test. Muller found 153/159 ELISA positive samples to have neutraliing Abs (81%). ",no PCR positive camels found - only 1 local camel was seropositive suggesting circulation in bangladesh may not be endemic… still valid?,
islam,Bangladesh,Dhaka,south_asia,N,9,2015,10,2015,>2yrs,2,20,Y,NA,NA,16,44,36.36363636,ppNT,PREDICT survey,farm/market,Y,Y,N,,,
kandeil,Egypt,8 governates,africa,Y,4,2016,3,2018,<2yrs,0,1.99,Y,8,462,72,447,83.79571248,MN,systematic,market/slaughterhouse/freeroaming herds/farms/quarantines,Y,Y,Y,Used MN as cited in Perera,,https://www.mdpi.com/1999-4915/11/8/717
kandeil,Egypt,8 governates,africa,Y,4,2016,3,2018,>2yrs,2,20,Y,175,1768,1329,1586,83.79571248,MN,systematic,market/slaughterhouse/freeroaming herds/farms/quarantines,Y,Y,Y,,,
ali_syst,Egypt,9 governates in the north and 3 sites along the border with Sudan (quarantines and a market),africa,Y,6,2014,2,2016,<2yrs,0,1.99,Y,97,591,221,595,81.55190134,MN,systematic,market/slaughterhouse/freeroaming herds/farms/quarantines,Y,Y,N,Ali et al used the MN test as described by Perera (in both syst. and cross studies).,,
ali_syst,Egypt,9 governates in the north and 3 sites along the border with Sudan (quarantines and a market),africa,Y,6,2014,2,2016,>2yrs,2,20,Y,338,2234,1587,1946,81.55190134,MN,systematic,market/slaughterhouse/freeroaming herds/farms/quarantines,Y,Y,N,,,
ali_cross,Egypt,7 governates,africa,Y,8,2015,1,2016,<2yrs,0,1.99,Y,2,82,42,81,87.26315789,MN,cross-sectional survey,village/slaughterhouse/live animal market/quarantine,Y,Y,N,Ali et al used the MN test as described by Perera (in both syst. and cross studies).,,https://pubmed.ncbi.nlm.nih.gov/28333616/
ali_cross,Egypt,7 governates,africa,Y,8,2015,1,2016,>2yrs,2,20,Y,39,996,829,950,87.26315789,MN,cross-sectional survey,village/slaughterhouse/live animal market/quarantine,Y,Y,N,,,
reusken_eth,Ethiopia,,africa,N,,,,,1-<2yrs,1,2,Y,NA,NA,29,31,96.81528662,PM,,,,,N,"In Tunisia, Ethiopia and Nigeria Reusken used protein microarray, PM, with a cut-off of 4000 RFU same as Meyer et al.",,
reusken_eth,Ethiopia,,africa,N,,,,,>2-13yrs,2.01,13,Y,NA,NA,152,157,96.81528662,PM,,,,,N,,,
kandeil,Iraq,Wasit and Muthana,middle_east,Y,1,2017,1,2017,<2yrs,0,1.99,Y,0,6,2,6,57.14285714,MN,systematic,locally kept,N,N,Y,Used MN as cited in Perera,,
kandeil,Iraq,Wasit and Muthana,middle_east,Y,1,2017,1,2017,>2yrs,2,20,Y,0,20,12,21,57.14285714,MN,systematic,locally kept,N,N,Y,,,
al_salihi,Iraq,,middle_east,N,,,,,1m-1yr,0.083,0.99,N,0,9,NA,NA,NA,,,,,,,,,
al_salihi,Iraq,,middle_east,N,,,,,1-5yrs,1,5,N,6,41,NA,NA,NA,,,,,,,,,
al_salihi,Iraq,,middle_east,N,,,,,5-10yrs,5.01,10,N,6,38,NA,NA,NA,,,,,,,,,
al_salihi,Iraq,,middle_east,N,,,,,<10yrs,10.01,20,N,3,12,NA,NA,NA,,,,,,,,,
thwiny,Iraq,,middle_east,N,,,,,<2yrs,0,1.99,N,NA,NA,39,44,85.8974359,ELISA,,,,,N,"ELISA (commercial euroimmun IgG). Samples cassified as negative, positive, borderline according to manufacturers instructions.",,
thwiny,Iraq,,middle_east,N,,,,,2-4yrs,2,4,N,NA,NA,47,58,85.8974359,ELISA,,,,,N,,,
thwiny,Iraq,,middle_east,N,,,,,>4yrs,4.01,20,N,NA,NA,67,78,85.8974359,ELISA,,,,,N,,,
kandeil,Jordan,Aqaba,middle_east,Y,11,2015,10,2016,<2yrs,0,1.99,Y,0,82,41,82,92.34234234,MN,,,,,Y,Used MN as cited in Perera,,
kandeil,Jordan,Aqaba,middle_east,Y,11,2015,10,2016,>2yrs,2,20,Y,0,222,205,222,92.34234234,MN,,,,,Y,,,
van_doremalen,Jordan,,middle_east,Y,,,,,2-6m,0.166666667,0.573333333,N,10,16,12,16,100,ELISA,,,,,N,"In Jordan, van Doremalen used in-house ELISA, 1:400 dilution “optical density (OD) was measured at 405 nm. The threshold of positivity was mean OD+ 10· standard deviation of negative sera obtained from camels raised in captivity in the United States”.",,
van_doremalen,Jordan,,middle_east,Y,,,,,7-18m,0.583333333,1.573333333,N,13,14,10,14,100,ELISA,,,,,N,,,
van_doremalen,Jordan,,middle_east,Y,,,,,19m-3yrs,1.583333333,3.99,N,5,8,8,8,100,ELISA,,,,,N,,,
van_doremalen,Jordan,,middle_east,Y,,,,,4-8yrs,4,8.99,N,0,4,7,7,100,ELISA,,,,,N,,,
deem,Kenya,,africa,N,,,,,<6m,0,0.49,N,NA,NA,24,61,60.82474227,PM,,,,,N,"In Kenya, Deem at al used a Protein Microarray test, first used by Reusken et al. ",,
