"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"1",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0",100
"2",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.4",100
"3",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.5",100
"4",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.6",100
"5",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.7",100
"6",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.8",100
"7",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.9",100
"8",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"1",99
"9",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0",100
"10",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.4",100
"11",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.5",100
"12",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.6",100
"13",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.7",100
"14",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.8",100
"15",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.9",100
"16",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"1",100
"17",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0",100
"18",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.4",100
"19",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.5",100
"20",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.6",100
"21",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.7",100
"22",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.8",100
"23",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.9",100
"24",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"1",100
"25",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0",100
"26",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.4",100
"27",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.5",100
"28",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.6",100
"29",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.7",100
