"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"1",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0",100
"2",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.4",100
"3",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.5",100
"4",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.6",100
"5",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.7",100
"6",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.8",100
"7",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.9",100
"8",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"1",100
"9",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0",100
"10",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.4",100
"11",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.5",100
"12",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.6",100
"13",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.7",100
"14",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.8",100
"15",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.9",100
"16",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"1",100
"17",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0",100
"18",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.4",100
"19",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.5",100
"20",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.6",100
"21",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.7",100
"22",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.8",100
"23",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.9",100
"24",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"1",100
"25",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0",100
"26",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.4",100
"27",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.5",100
"28",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.6",100
"29",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.7",99
"30",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.8",60
"31",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.9",8
"32",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"1",0
"33",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0",100
"34",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.4",100
"35",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.5",100
"36",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.6",100
"37",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.7",100
"38",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.8",100
"39",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.9",100
"40",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"1",33
"41",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0",100
"42",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.4",100
"43",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.5",100
"44",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.6",100
"45",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.7",100
"46",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.8",100
"47",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.9",98
"48",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"1",98
"49",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0",100
"50",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.4",100
"51",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.5",100
"52",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.6",99
"53",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.7",27
"54",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.8",0
"55",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.9",0
"56",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"1",0
"57",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0",100
"58",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.4",100
"59",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.5",100
"60",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.6",100
"61",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.7",100
"62",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.8",99
"63",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.9",14
"64",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"1",0
"65",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"0",100
"66",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"0.4",100
"67",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"0.5",100
"68",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"0.6",100
"69",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"0.7",100
"70",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"0.8",99
"71",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"0.9",94
"72",1,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,9,"1",9
"73",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0",100
"74",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.4",100
"75",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.5",100
"76",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.6",100
"77",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.7",100
"78",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.8",100
"79",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"0.9",100
"80",0.125,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,10,"1",100
"81",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0",100
"82",0.164285714285714,0.00277777777777778,0.5,0.33,0.5,0.75,0.5,11,"0.4",100
