"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"1",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0",69
"2",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.4",31
"3",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.5",32
"4",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.6",21
"5",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.7",11
"6",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.8",9
"7",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"0.9",5
"8",0.25,0.00277777777777778,0.01,0.0015,0.01,1,0.75,19,"1",3
"9",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0",99
"10",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.4",94
"11",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.5",89
"12",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.6",75
"13",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.7",58
"14",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.8",28
"15",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"0.9",15
"16",0.5,0.00277777777777778,0.01,0.0015,0.01,1,0.75,20,"1",2
"17",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0",86
"18",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.4",89
"19",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.5",91
"20",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.6",78
"21",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.7",72
"22",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.8",36
"23",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"0.9",27
"24",1,0.00277777777777778,0.01,0.0015,0.01,1,0.75,21,"1",10
"25",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0",73
"26",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.4",17
"27",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.5",12
"28",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.6",3
"29",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.7",1
"30",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.8",0
"31",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"0.9",0
"32",0.25,0.000925925925925926,0.01,0.0015,0.01,1,0.75,22,"1",0
"33",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0",100
"34",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.4",90
"35",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.5",77
"36",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.6",36
"37",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.7",10
"38",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.8",1
"39",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"0.9",0
"40",0.5,0.000925925925925926,0.01,0.0015,0.01,1,0.75,23,"1",0
"41",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0",87
"42",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.4",86
"43",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.5",89
"44",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.6",51
"45",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.7",28
"46",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.8",19
"47",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"0.9",11
"48",1,0.000925925925925926,0.01,0.0015,0.01,1,0.75,24,"1",1
"49",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0",69
"50",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.4",9
"51",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.5",2
"52",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.6",1
"53",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.7",0
"54",0.25,0.000277777777777778,0.01,0.0015,0.01,1,0.75,25,"0.8",0
