"","beta","rho","v_shed","v_reduced_shed","reduced_shed","v_susc","v_Ab_susc","set","coverage","persistence"
"1",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0",73
"2",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.4",32
"3",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.5",30
"4",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.6",18
"5",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.7",10
"6",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.8",10
"7",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"0.9",8
"8",0.25,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,1,"1",3
"9",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0",98
"10",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.4",91
"11",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.5",89
"12",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.6",80
"13",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.7",67
"14",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.8",45
"15",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"0.9",20
"16",0.5,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,2,"1",4
"17",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0",87
"18",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.4",92
"19",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.5",94
"20",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.6",88
"21",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.7",70
"22",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.8",39
"23",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"0.9",18
"24",1,0.00277777777777778,0.01,0.0015,0.01,0.75,0.5,3,"1",18
"25",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0",71
"26",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.4",18
"27",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.5",10
"28",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.6",14
"29",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.7",1
"30",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.8",1
"31",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"0.9",0
"32",0.25,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,4,"1",0
"33",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0",100
"34",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.4",86
"35",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.5",81
"36",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.6",48
"37",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.7",17
"38",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.8",0
"39",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"0.9",0
"40",0.5,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,5,"1",0
"41",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0",86
"42",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.4",88
"43",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.5",90
"44",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.6",55
"45",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.7",28
"46",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.8",25
"47",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"0.9",12
"48",1,0.000925925925925926,0.01,0.0015,0.01,0.75,0.5,6,"1",2
"49",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0",77
"50",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.4",7
"51",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.5",5
"52",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.6",1
"53",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.7",0
"54",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.8",0
"55",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"0.9",0
"56",0.25,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,7,"1",0
"57",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0",99
"58",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.4",77
"59",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.5",69
"60",0.5,0.000277777777777778,0.01,0.0015,0.01,0.75,0.5,8,"0.6",15
