"","fit1_exp1","fit2_exp1","fit3_exp1","fit4_exp1","fit1_exp2","fit2_exp2","fit3_exp2","fit4_exp2","region","par"
"3","0.36 (0.31, 0.42)","0.65 (0.52, 0.86)","0.35 (0.3, 0.4)","0.51 (0.42, 0.68)","0.74 (0.59, 1.02)","0.85 (0.68, 1.16)","0.68 (0.55, 0.93)","0.79 (0.62, 1.07)","africa_Egypt_ali_syst","foi"
"2","0.33 (0.28, 0.39)","0.57 (0.46, 0.74)","0.33 (0.28, 0.39)","0.47 (0.38, 0.61)","0.53 (0.43, 0.67)","0.61 (0.5, 0.8)","0.52 (0.43, 0.67)","0.59 (0.48, 0.78)","africa_Egypt_kandeil","foi"
"4","1.61 (1, 9.68)","2.87 (1.68, 9.72)","2.41 (1.34, 9.69)","2.66 (1.56, 9.69)","1.66 (1.02, 9.68)","1.89 (1.19, 9.66)","1.96 (1.15, 9.67)","2.06 (1.27, 9.66)","africa_Ethiopia_reusken_eth","foi"
"9","0.17 (0.11, 0.28)","0.29 (0.19, 0.49)","0.16 (0.11, 0.25)","0.24 (0.16, 0.39)","0.17 (0.11, 0.27)","0.2 (0.13, 0.34)","0.17 (0.12, 0.27)","0.19 (0.13, 0.32)","africa_Kenya_deem","foi"
"10","0.62 (0.49, 0.87)","1.28 (0.92, 7.7)","0.73 (0.57, 1.03)","1.01 (0.76, 2.33)","0.63 (0.5, 0.87)","0.76 (0.59, 1.2)","0.67 (0.53, 0.94)","0.78 (0.6, 1.18)","africa_Kenya_munyua","foi"
"11","0.18 (0.15, 0.21)","0.38 (0.29, 0.56)","0.17 (0.15, 0.21)","0.29 (0.22, 0.43)","0.17 (0.15, 0.21)","0.23 (0.18, 0.32)","0.18 (0.15, 0.21)","0.22 (0.17, 0.3)","africa_Kenya_ommeh","foi"
"19","0.2 (0.13, 0.35)","0.35 (0.23, 0.77)","0.2 (0.14, 0.35)","0.3 (0.19, 0.58)","0.31 (0.2, 7.7)","0.38 (0.24, 7.16)","0.3 (0.2, 6.98)","0.36 (0.23, 6.6)","africa_Senegal_kandeil","foi"
"20","0.46 (0.36, 3.38)","1.18 (0.78, 3.85)","0.49 (0.39, 0.72)","0.82 (0.59, 2.21)","9.65 (2.96, 9.89)","9.67 (3.21, 9.9)","9.63 (2.89, 9.89)","9.66 (3.08, 9.89)","africa_Tunisia_kandeil","foi"
"21","0.13 (0.08, 0.22)","0.21 (0.13, 0.37)","0.13 (0.08, 0.22)","0.18 (0.11, 0.31)","0.13 (0.08, 0.21)","0.15 (0.09, 0.26)","0.13 (0.08, 0.22)","0.15 (0.09, 0.26)","africa_Tunisia_reusken_tun","foi"
"23","0.24 (0.17, 0.36)","0.46 (0.31, 0.77)","0.22 (0.17, 0.33)","0.34 (0.24, 0.56)","0.63 (0.37, 3.49)","0.74 (0.43, 2.68)","0.42 (0.28, 2.06)","0.52 (0.34, 1.96)","africa_Uganda_kandeil","foi"
"5","0.21 (0.08, 8.64)","0.33 (0.14, 7.99)","0.16 (0.07, 7.58)","0.24 (0.1, 7.49)","0.45 (0.21, 9.64)","0.49 (0.23, 9.63)","0.4 (0.18, 9.64)","0.43 (0.19, 9.61)","middle_east_Iraq_kandeil","foi"
"6","5.95 (1.4, 9.77)","2.48 (1.2, 9.42)","3.55 (0.73, 9.71)","1.77 (0.92, 9.43)","5.59 (1.44, 9.77)","3.95 (1.12, 9.67)","5.84 (0.96, 9.75)","3.08 (0.89, 9.65)","middle_east_Iraq_thwiny","foi"
"7","0.71 (0.48, 2.13)","1.27 (0.83, 3.12)","0.66 (0.45, 1.54)","1.03 (0.67, 2.43)","1.5 (0.9, 8.02)","1.69 (1.04, 8.6)","1.41 (0.87, 7.91)","1.59 (0.97, 8.48)","middle_east_Jordan_kandeil","foi"
"8","1.96 (0.96, 8.83)","2.46 (1.17, 9.18)","2.1 (0.99, 9.36)","2.63 (1.2, 9.46)","2.05 (0.98, 8.85)","2.13 (1.04, 8.98)","2.33 (1.07, 9.37)","2.44 (1.12, 9.41)","middle_east_Jordan_van_doremalen","foi"
"14","2.1 (1, 8.9)","2.28 (1.37, 8.35)","1.18 (0.72, 8.04)","1.84 (1.09, 7.75)","2.13 (1.01, 8.81)","1.95 (1.09, 8.4)","1.58 (0.83, 8.53)","1.75 (0.95, 8.16)","middle_east_KSA_alagaili_1992","foi"
"13","1.02 (0.61, 2.86)","1.41 (0.88, 3.54)","0.82 (0.5, 2.18)","1.15 (0.71, 2.84)","1.03 (0.62, 2.79)","1.13 (0.7, 2.9)","0.9 (0.54, 2.46)","1.01 (0.62, 2.63)","middle_east_KSA_alagaili_2013","foi"
"15","4.8 (1.52, 9.75)","2.51 (1.31, 9.52)","3.51 (1, 9.67)","2.29 (1.15, 9.47)","4.88 (1.54, 9.77)","2.94 (1.32, 9.68)","3.77 (1.24, 9.71)","2.86 (1.17, 9.63)","middle_east_KSA_harrath","foi"
"16","3.72 (1.86, 9.54)","3.76 (2.16, 9.38)","2.48 (1.45, 9.16)","3.03 (1.74, 9.12)","7.63 (2.85, 9.83)","8.55 (3.1, 9.84)","7.35 (2.67, 9.82)","8.56 (2.89, 9.84)","middle_east_KSA_hemida","foi"
"12","0.34 (0.23, 1.39)","0.71 (0.45, 3.61)","0.36 (0.24, 0.76)","0.55 (0.36, 2.17)","5.23 (0.9, 9.77)","4.49 (1, 9.76)","4.62 (0.85, 9.76)","4.38 (0.94, 9.76)","middle_east_KSA_kandeil","foi"
"22","8.2 (3.89, 9.86)","8.1 (4.1, 9.86)","7.07 (2.86, 9.81)","7.1 (3.48, 9.82)","8.52 (3.94, 9.87)","7.84 (3.79, 9.85)","7.89 (3.52, 9.85)","7.42 (3.44, 9.83)","middle_east_UAE_wernery_acute","foi"
"1","0.08 (0.03, 0.26)","0.13 (0.05, 0.48)","0.07 (0.03, 0.22)","0.1 (0.04, 0.34)","0.1 (0.04, 2.34)","0.12 (0.05, 1.95)","0.09 (0.04, 1.02)","0.11 (0.05, 1.13)","south_asia_Bangladesh_islam","foi"
"17","0.1 (0.07, 0.13)","0.16 (0.12, 0.24)","0.1 (0.07, 0.13)","0.13 (0.1, 0.19)","0.13 (0.09, 0.18)","0.15 (0.11, 0.22)","0.13 (0.09, 0.18)","0.15 (0.1, 0.21)","south_asia_Pakistan_saqib","foi"
"18","0.3 (0.25, 0.38)","0.56 (0.42, 0.84)","0.31 (0.26, 0.39)","0.45 (0.35, 0.65)","0.3 (0.25, 0.38)","0.37 (0.3, 0.5)","0.3 (0.25, 0.38)","0.36 (0.29, 0.48)","south_asia_Pakistan_zohaib","foi"
"24",NA,"0.1 (0.07, 0.16)",NA,"0.06 (0.03, 0.11)",NA,"0.03 (0.01, 0.05)",NA,"0.02 (0.01, 0.05)","z_global","sigma_r"
"25",NA,NA,"2.82 (2.14, 4.79)","4.9 (3.19, 9.64)",NA,NA,"5.3 (3.37, 9.7)","6.82 (3.88, 9.84)","z_global","omega"
"26","2.92 (2.42, 3.54)","2.79 (2.23, 3.41)","2.52 (2.01, 3.14)","2.53 (1.98, 3.17)","2.8 (2.27, 3.4)","2.76 (2.24, 3.38)","2.7 (2.16, 3.3)","2.67 (2.15, 3.3)","z_global","k"
